City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Antofagasta,CL,2021-10-26 13:17:00,-23.65,-70.4,61.88,63,0,3.33
131,Arraial Do Cabo,BR,2021-10-26 13:17:37,-22.9661,-42.0278,76.96,78,75,10.36
132,Katsuura,JP,2021-10-26 13:18:31,35.1333,140.3,62.11,76,43,4.05
133,Saskylakh,RU,2021-10-26 13:18:25,71.9167,114.0833,2.48,98,100,2.15
134,Carnarvon,AU,2021-10-26 13:17:26,-24.8667,113.6333,64.47,52,75,14.97
135,Biak,ID,2021-10-26 13:21:47,-0.9131,122.8766,78.66,83,53,3.76
136,Fairbanks,US,2021-10-26 13:18:48,64.8378,-147.7164,29.1,94,90,0.0
137,Bredasdorp,ZA,2021-10-26 13:17:27,-34.5322,20.0403,72.28,63,95,22.91
138,Lagoa,PT,2021-10-26 13:19:03,39.05,-27.9833,69.4,84,100,22.28
139,Srednekolymsk,RU,2021-10-26 13:19:51,67.45,153.6833,-7.76,99,56,2.37
140,Roebourne,AU,2021-10-26 13:18:38,-20.7833,117.1333,78.94,40,0,16.44
141,Namtsy,RU,2021-10-26 13:21:47,62.7161,129.6658,32.11,99,100,2.33
142,Beroroha,MG,2021-10-26 13:21:47,-21.6667,45.1667,101.93,18,34,3.71
143,Kemijarvi,FI,2021-10-26 13:21:48,66.7131,27.4306,32.27,99,100,3.83
144,Tyler,US,2021-10-26 13:18:49,32.3513,-95.3011,71.65,90,90,9.22
145,Otane,NZ,2021-10-26 13:21:48,-39.8833,176.6333,63.01,95,100,2.04
146,Namatanai,PG,2021-10-26 13:21:48,-3.6667,152.4333,80.13,75,91,7.43
147,Saldanha,ZA,2021-10-26 13:17:43,-33.0117,17.9442,67.86,60,54,14.54
148,Diego De Almagro,CL,2021-10-26 13:21:49,-26.3667,-70.05,66.88,35,0,2.8
149,Rawson,AR,2021-10-26 13:21:49,-43.3002,-65.1023,70.52,25,91,36.26
150,Victoria,HK,2021-10-26 13:17:19,22.2855,114.1577,79.32,79,100,1.01
151,Puri,IN,2021-10-26 13:21:49,19.8,85.85,82.92,75,20,13.09
152,Tinsukia,IN,2021-10-26 13:21:50,27.5,95.3667,71.33,88,0,2.24
153,Mandalgovi,MN,2021-10-26 13:20:25,45.7625,106.2708,38.64,43,0,9.01
154,Ihosy,MG,2021-10-26 13:21:50,-22.4,46.1167,89.98,27,51,11.95
155,Khatanga,RU,2021-10-26 13:17:24,71.9667,102.5,3.2,98,100,2.62
156,Preetz,DE,2021-10-26 13:21:51,54.2333,10.2833,57.07,82,40,12.66
157,Murdochville,CA,2021-10-26 13:21:51,48.9583,-65.5006,32.88,72,11,1.68
158,Leonidovo,RU,2021-10-26 13:21:51,49.2833,142.8667,39.09,74,0,4.9
159,Longyearbyen,SJ,2021-10-26 13:14:49,78.2186,15.6401,15.64,73,20,8.05
160,Khash,IR,2021-10-26 13:21:52,28.2211,61.2158,71.82,14,0,8.55
161,Middle Island,US,2021-10-26 13:20:31,40.8843,-72.9373,64.89,92,90,4.0
162,Kahului,US,2021-10-26 13:18:36,20.8947,-156.47,75.85,82,1,0.0
163,Belyy Yar,RU,2021-10-26 13:18:33,53.6039,91.3903,35.49,87,100,2.24
164,Souillac,MU,2021-10-26 13:18:56,-20.5167,57.5167,77.38,69,40,13.8
165,Kodiak,US,2021-10-26 13:13:54,57.79,-152.4072,38.5,87,100,10.56
166,Conde,BR,2021-10-26 13:21:52,-7.2597,-34.9075,81.86,69,75,18.41
167,Kiunga,PG,2021-10-26 13:21:52,-6.1219,141.2906,75.72,97,99,2.57
168,Bowen,AU,2021-10-26 13:21:53,-20.0167,148.2333,76.77,77,37,10.04
169,Deer Lake,CA,2021-10-26 13:21:53,49.1667,-57.4316,44.46,70,90,8.05
170,Vao,NC,2021-10-26 13:19:41,-22.6667,167.4833,71.73,86,100,15.46
171,Lumphat,KH,2021-10-26 13:21:53,13.4878,106.9816,74.5,93,100,0.83
172,Turukhansk,RU,2021-10-26 13:21:54,65.8167,87.9833,21.13,80,100,14.74
173,Esfarayen,IR,2021-10-26 13:21:54,37.0765,57.5101,56.86,27,87,2.62
174,Newport,GB,2021-10-26 13:21:54,51.5877,-2.9984,63.19,90,100,19.42
175,Kirakira,SB,2021-10-26 13:19:08,-10.4544,161.9205,79.86,84,100,6.62
176,Dogondoutchi,NE,2021-10-26 13:21:55,13.6393,4.0287,101.8,12,58,10.8
177,Faanui,PF,2021-10-26 13:17:38,-16.4833,-151.75,77.09,78,100,5.82
178,Waddan,LY,2021-10-26 13:21:56,29.1614,16.139,83.05,19,0,10.27
179,Wellington,NZ,2021-10-26 13:19:41,-41.2866,174.7756,62.65,91,90,1.01
180,Cidreira,BR,2021-10-26 13:18:38,-30.1811,-50.2056,76.14,53,0,3.65
181,Fereydun Kenar,IR,2021-10-26 13:21:57,36.6864,52.5225,59.31,88,100,13.62
182,Ornes,NO,2021-10-26 13:21:57,66.8689,13.7078,44.71,92,100,9.71
183,Reconquista,AR,2021-10-26 13:21:57,-29.15,-59.65,82.8,28,0,8.99
184,Mersing,MY,2021-10-26 13:21:58,2.4312,103.8405,78.71,89,50,5.75
185,Puerto Ayora,EC,2021-10-26 13:17:33,-0.7393,-90.3518,69.08,80,69,8.01
186,Airai,TL,2021-10-26 13:17:49,-8.9266,125.4092,64.72,80,28,0.76
187,Calamar,CO,2021-10-26 13:21:59,10.2511,-74.9146,82.35,88,100,8.1
188,Codrington,AU,2021-10-26 13:17:36,-38.2667,141.9667,49.86,76,21,9.13
189,Nokaneng,BW,2021-10-26 13:22:00,-19.6667,22.2667,97.03,21,22,4.63
190,Peniche,PT,2021-10-26 13:22:00,39.3558,-9.3811,78.62,51,42,11.32
191,Harper,LR,2021-10-26 13:22:01,4.375,-7.7169,80.67,75,85,8.84
192,Udachnyy,RU,2021-10-26 13:22:02,66.4167,112.4,6.15,95,52,9.37
193,Kukushtan,RU,2021-10-26 13:22:02,57.6464,56.4952,29.82,95,100,7.67
194,Umea,SE,2021-10-26 13:22:03,63.8284,20.2597,36.91,100,0,2.3
195,Bereda,ES,2021-10-26 13:22:03,43.2686,-7.5406,66.42,39,19,1.16
196,Nago,JP,2021-10-26 13:22:04,26.5881,127.9761,73.56,64,60,8.16
197,Port-Gentil,GA,2021-10-26 13:22:04,-0.7193,8.7815,84.16,74,40,13.8
198,Mao,ES,2021-10-26 13:22:05,39.8885,4.2658,70.36,60,40,14.97
199,Kamenka,RU,2021-10-26 13:20:14,51.3223,42.7678,41.34,43,100,7.96
200,Padang,ID,2021-10-26 13:22:05,-0.9492,100.3543,78.37,88,83,3.53
201,Raga,SS,2021-10-26 13:22:06,8.4596,25.678,92.55,41,70,1.68
202,Georgetown,MY,2021-10-26 13:17:20,5.4112,100.3354,84.13,86,40,1.01
203,Cabo San Lucas,MX,2021-10-26 13:18:18,22.8909,-109.9124,73.51,74,0,5.99
204,Clyde River,CA,2021-10-26 13:17:48,70.4692,-68.5914,19.65,86,100,4.07
205,Ahipara,NZ,2021-10-26 13:19:42,-35.1667,173.1667,59.43,95,95,5.03
206,Nanortalik,GL,2021-10-26 13:18:29,60.1432,-45.2371,36.68,68,100,4.59
207,Vestmannaeyjar,IS,2021-10-26 13:19:36,63.4427,-20.2734,45.59,81,20,43.73
208,Placerville,US,2021-10-26 13:22:08,38.7296,-120.7986,47.07,94,68,4.03
209,Uniao Dos Palmares,BR,2021-10-26 13:22:08,-9.1628,-36.0319,87.39,45,47,11.61
210,Tucurui,BR,2021-10-26 13:22:08,-3.7661,-49.6725,88.47,59,32,4.76
211,Hua Hin,TH,2021-10-26 13:20:07,12.5707,99.9588,79.77,78,92,6.67
212,Hwange,ZW,2021-10-26 13:22:08,-18.3693,26.5019,96.49,22,20,10.8
213,Luganville,VU,2021-10-26 13:22:09,-15.5333,167.1667,77.94,85,2,4.29
214,Ratnagiri,IN,2021-10-26 13:22:09,16.9833,73.3,79.92,74,1,7.49
215,Pontal Do Parana,BR,2021-10-26 13:22:09,-25.6533,-48.5128,85.73,65,22,4.47
216,Wesselsbron,ZA,2021-10-26 13:22:10,-27.8549,26.3658,79.54,32,69,3.62
217,Nizwa,OM,2021-10-26 13:22:10,22.9333,57.5333,90.43,21,61,9.91
218,Taywarah,AF,2021-10-26 13:22:10,33.35,64.4167,43.11,25,0,3.8
219,Khvoynaya,RU,2021-10-26 13:22:11,58.9,34.5333,38.14,84,100,7.94
220,Dikson,RU,2021-10-26 13:17:53,73.5069,80.5464,13.19,87,100,12.21
221,Raudeberg,NO,2021-10-26 13:18:48,61.9875,5.1352,47.98,89,100,8.01
222,Yellowknife,CA,2021-10-26 13:17:52,62.456,-114.3525,36.41,100,90,9.22
223,Liliani,PK,2021-10-26 13:22:11,32.2065,72.9537,75.52,30,93,5.1
224,Paris,FR,2021-10-26 13:18:28,48.8534,2.3488,60.39,79,75,1.99
225,Karur,IN,2021-10-26 13:22:12,10.95,78.0833,80.42,74,91,5.55
226,Salinas,US,2021-10-26 13:20:22,36.6777,-121.6555,51.82,83,1,3.44
227,Kruisfontein,ZA,2021-10-26 13:18:36,-34.0033,24.7314,71.89,62,100,24.11
228,Marsh Harbour,BS,2021-10-26 13:20:04,26.5412,-77.0636,81.82,79,1,17.47
229,Sinnamary,GF,2021-10-26 13:19:21,5.3833,-52.95,82.22,79,97,9.22
230,Mar Del Plata,AR,2021-10-26 13:14:56,-38.0023,-57.5575,68.88,65,0,5.99
231,East London,ZA,2021-10-26 13:18:38,-33.0153,27.9116,68.94,77,40,25.32
232,Riacho De Santana,BR,2021-10-26 13:22:12,-13.6092,-42.9389,85.42,47,16,9.89
233,Nukus,UZ,2021-10-26 13:22:13,42.4531,59.6103,55.38,33,0,9.22
234,Niamey,NE,2021-10-26 13:19:33,13.5137,2.1098,102.49,15,0,4.61
235,Mildura,AU,2021-10-26 13:22:13,-34.2,142.15,58.96,31,4,0.0
236,Lumut,MY,2021-10-26 13:22:14,4.2323,100.6298,82.42,83,20,2.3
237,Port Elizabeth,ZA,2021-10-26 13:18:14,-33.918,25.5701,74.1,83,75,21.85
238,Kerema,PG,2021-10-26 13:22:14,-7.9631,145.7785,79.48,88,100,5.17
239,Port Hardy,CA,2021-10-26 13:22:14,50.6996,-127.4199,48.2,87,90,6.91
240,Tshela,CD,2021-10-26 13:22:15,-4.9833,12.9333,83.01,73,99,4.59
241,Fare,PF,2021-10-26 13:22:15,-16.7,-151.0167,76.53,79,100,7.85
242,Batagay-Alyta,RU,2021-10-26 13:22:15,67.8006,130.4114,3.99,91,100,1.9
243,Yulara,AU,2021-10-26 13:19:05,-25.2406,130.9889,82.24,42,94,11.5
244,Mizdah,LY,2021-10-26 13:22:16,31.4451,12.9801,72.81,46,15,16.11
245,Yar-Sale,RU,2021-10-26 13:17:58,66.8333,70.8333,16.34,89,13,5.86
246,Tavistock,GB,2021-10-26 13:20:56,50.5494,-4.1442,61.63,94,95,14.83
247,Great Bend,US,2021-10-26 13:22:16,38.3645,-98.7648,52.41,89,75,10.0
248,Abu Dhabi,AE,2021-10-26 13:22:17,24.4667,54.3667,89.71,37,0,13.8
249,Henties Bay,NA,2021-10-26 13:22:17,-22.116,14.2845,65.86,68,100,10.31
250,Taltal,CL,2021-10-26 13:22:17,-25.4,-70.4833,62.44,70,17,5.19
251,Tuatapere,NZ,2021-10-26 13:19:58,-46.1333,167.6833,53.1,97,100,0.56
252,Donskoye,RU,2021-10-26 13:22:18,45.4552,41.9741,46.53,40,1,6.71
253,Tiksi,RU,2021-10-26 13:17:28,71.6872,128.8694,11.5,95,100,3.11
254,Sindor,RU,2021-10-26 13:22:18,62.8629,51.8905,26.47,82,100,3.2
255,Honningsvag,NO,2021-10-26 13:19:21,70.9821,25.9704,34.03,89,76,27.18
256,Ziarat,PK,2021-10-26 13:22:18,30.3823,67.7282,50.52,30,0,5.37
257,Port Blair,IN,2021-10-26 13:17:29,11.6667,92.75,81.18,80,13,8.61
258,Tomatlan,MX,2021-10-26 13:22:19,19.9333,-105.25,70.36,90,75,4.27
259,Maceio,BR,2021-10-26 13:18:22,-9.6658,-35.7353,89.04,62,75,12.66
260,College,US,2021-10-26 13:22:19,64.8569,-147.8028,28.06,94,90,0.0
261,Lages,BR,2021-10-26 13:18:05,-27.8161,-50.3261,72.79,45,13,0.58
262,Saint-Francois,FR,2021-10-26 13:18:19,46.4154,3.9054,60.24,67,75,8.05
263,Ancud,CL,2021-10-26 13:17:27,-41.8697,-73.8203,57.42,83,100,10.13
264,Castro,BR,2021-10-26 13:15:38,-24.7911,-50.0119,69.85,61,22,6.31
265,Rincon,US,2021-10-26 13:22:20,32.296,-81.2354,64.85,84,20,1.01
266,Andros Town,BS,2021-10-26 13:22:20,24.7,-77.7667,82.36,79,100,9.64
267,Valkla,EE,2021-10-26 13:22:21,59.4744,25.3186,50.67,83,100,11.39
268,Ca Mau,VN,2021-10-26 13:22:21,9.1769,105.15,77.9,81,100,0.16
269,Calmar,CA,2021-10-26 13:22:21,53.2668,-113.8187,35.26,93,20,6.91
270,Markapur,IN,2021-10-26 13:22:22,15.7333,79.2833,79.74,54,40,6.42
271,Pimentel,PE,2021-10-26 13:22:22,-6.8367,-79.9342,62.89,77,40,16.11
272,Bintulu,MY,2021-10-26 13:22:22,3.1667,113.0333,77.41,100,20,3.44
273,Mantua,IT,2021-10-26 13:22:23,45.1667,10.7833,65.82,50,51,1.01
274,Bireun,ID,2021-10-26 13:22:23,5.203,96.7009,80.33,82,80,2.04
275,Santa Fe,AR,2021-10-26 13:19:56,-31.6333,-60.7,85.75,29,0,4.0
276,Ocos,GT,2021-10-26 13:22:23,14.5094,-92.1933,85.32,83,40,5.41
277,Lompoc,US,2021-10-26 13:18:11,34.6391,-120.4579,52.57,85,1,6.91
278,Esfahan,IR,2021-10-26 13:22:24,32.6572,51.6776,69.44,13,0,5.03
279,Omsukchan,RU,2021-10-26 13:18:12,62.5333,155.8,-2.97,99,33,2.39
280,Bengkulu,ID,2021-10-26 13:18:30,-3.8004,102.2655,78.13,85,100,4.09
281,Deputatskiy,RU,2021-10-26 13:17:38,69.3,139.9,-8.54,99,97,1.66
282,Berlevag,NO,2021-10-26 13:22:24,70.8578,29.0864,31.95,80,75,31.07
283,Kizukuri,JP,2021-10-26 13:22:25,40.8061,140.3861,53.11,92,71,4.21
284,Massaguet,TD,2021-10-26 13:22:25,12.4755,15.4365,102.24,10,99,10.69
285,Price,US,2021-10-26 13:17:39,39.5994,-110.8107,43.12,65,40,13.8
286,Yaan,NG,2021-10-26 13:22:26,7.3833,8.5667,85.59,63,65,7.61
287,Mehamn,NO,2021-10-26 13:18:29,71.0357,27.8492,31.91,68,100,27.67
288,Xining,CN,2021-10-26 13:22:26,36.6167,101.7667,35.46,81,37,2.66
289,Shuyskoye,RU,2021-10-26 13:22:26,59.3736,41.0305,36.81,91,100,8.68
290,Labrea,BR,2021-10-26 13:22:27,-7.2586,-64.7981,79.84,79,95,3.0
291,Anchorage,US,2021-10-26 13:22:27,61.2181,-149.9003,36.21,84,40,0.0
292,San Patricio,US,2021-10-26 13:18:48,28.017,-97.5169,80.89,92,100,8.43
293,Komsomolskiy,UZ,2021-10-26 13:20:06,40.4272,71.7189,59.72,31,92,4.61
294,Kostyantynivka,UA,2021-10-26 13:22:27,48.5277,37.7069,48.0,25,14,3.42
295,Cairns,AU,2021-10-26 13:19:20,-16.9167,145.7667,76.95,84,40,3.44
296,Wakkanai,JP,2021-10-26 13:22:28,45.4094,141.6739,53.1,80,0,7.16
